regno,acadyear,semester,studyyear,progid,item_code,item,amount,session,regstatus,status
MRU2021000681,2021/2022,2,1,BMC,1,Tuition,780000,DAY,UNREGISTERED,PLANNED
MRU2021000681,2021/2022,2,1,BMC,52,Functional,797000,DAY,UNREGISTERED,PLANNED
MRU2021000681,2022/2023,1,2,BMC,1,Tuition,780000,DAY,UNREGISTERED,PLANNED
MRU2021000681,2022/2023,1,2,BMC,52,Functional,807000,DAY,UNREGISTERED,PLANNED
MRU2021000681,2023/2024,1,3,BMC,1,Tuition,780000,DAY,UNREGISTERED,PLANNED
MRU2021000681,2023/2024,1,3,BMC,52,Functional,783000,DAY,UNREGISTERED,PLANNED
MRU2021000681,2023/2024,2,3,BMC,1,Tuition,780000,DAY,CLEARED,PLANNED
MRU2021000681,2023/2024,2,3,BMC,52,Functional,1053000,DAY,CLEARED,PLANNED
MRU2021000694,2021/2022,1,1,BSAF,1,Tuition,630000,DAY,UNREGISTERED,PLANNED
MRU2021000694,2021/2022,1,1,BSAF,52,Functional,767000,DAY,UNREGISTERED,PLANNED
MRU2021000694,2021/2022,2,1,BSAF,1,Tuition,630000,DAY,UNREGISTERED,PLANNED
MRU2021000694,2021/2022,2,1,BSAF,52,Functional,677000,DAY,UNREGISTERED,PLANNED
MRU2021000694,2022/2023,1,2,BSAF,1,Tuition,630000,DAY,UNREGISTERED,PLANNED
MRU2021000694,2022/2023,1,2,BSAF,52,Functional,687000,DAY,UNREGISTERED,PLANNED
MRU2021000694,2022/2023,2,2,BSAF,1,Tuition,630000,DAY,UNREGISTERED,PLANNED
MRU2021000694,2022/2023,2,2,BSAF,52,Functional,653000,DAY,UNREGISTERED,PLANNED
MRU2021000694,2023/2024,1,3,BSAF,1,Tuition,630000,DAY,UNREGISTERED,PLANNED
MRU2021000694,2023/2024,1,3,BSAF,52,Functional,663000,DAY,UNREGISTERED,PLANNED
MRU2021000694,2023/2024,2,3,BSAF,1,Tuition,630000,DAY,UNREGISTERED,PLANNED
MRU2021000694,2023/2024,2,3,BSAF,52,Functional,933000,DAY,UNREGISTERED,PLANNED
MRU2021000734,2021/2022,1,1,BBA,1,Tuition,630000,DAY,REGISTERED,PLANNED
MRU2021000734,2021/2022,1,1,BBA,52,Functional,767000,DAY,REGISTERED,PLANNED
MRU2021000734,2022/2023,1,2,BBA,1,Tuition,630000,DAY,REGISTERED,PLANNED
MRU2021000734,2022/2023,1,2,BBA,52,Functional,687000,DAY,REGISTERED,PLANNED
MRU2021000734,2022/2023,2,2,BBA,1,Tuition,630000,DAY,UNREGISTERED,PLANNED
MRU2021000734,2022/2023,2,2,BBA,52,Functional,653000,DAY,UNREGISTERED,PLANNED
MRU2021000734,2023/2024,1,3,BBA,1,Tuition,630000,DAY,UNREGISTERED,PLANNED
MRU2021000734,2023/2024,1,3,BBA,52,Functional,663000,DAY,UNREGISTERED,PLANNED
MRU2021000734,2023/2024,2,3,BBA,1,Tuition,630000,DAY,UNREGISTERED,PLANNED
MRU2021000734,2023/2024,2,3,BBA,52,Functional,933000,DAY,UNREGISTERED,PLANNED
MRU2021000832,2021/2022,1,1,BBA,1,Tuition,630000,DAY,UNREGISTERED,PLANNED
MRU2021000832,2021/2022,1,1,BBA,52,Functional,767000,DAY,UNREGISTERED,PLANNED
MRU2021000832,2021/2022,2,1,BBA,1,Tuition,630000,DAY,UNREGISTERED,PLANNED
MRU2021000832,2021/2022,2,1,BBA,52,Functional,677000,DAY,UNREGISTERED,PLANNED
MRU2021000832,2022/2023,1,2,BBA,1,Tuition,630000,DAY,UNREGISTERED,PLANNED
MRU2021000832,2022/2023,1,2,BBA,52,Functional,687000,DAY,UNREGISTERED,PLANNED
MRU2021000832,2022/2023,2,2,BBA,1,Tuition,630000,DAY,UNREGISTERED,PLANNED
MRU2021000832,2022/2023,2,2,BBA,52,Functional,653000,DAY,UNREGISTERED,PLANNED
MRU2021000832,2023/2024,1,3,BBA,1,Tuition,630000,DAY,UNREGISTERED,PLANNED
MRU2021000832,2023/2024,1,3,BBA,52,Functional,663000,DAY,UNREGISTERED,PLANNED
MRU2021000832,2023/2024,2,3,BBA,1,Tuition,630000,DAY,UNREGISTERED,PLANNED
MRU2021000832,2023/2024,2,3,BBA,52,Functional,933000,DAY,UNREGISTERED,PLANNED
MRU2021001087,2021/2022,1,1,DAD,1,Tuition,530000,DAY,UNREGISTERED,PLANNED
MRU2021001087,2021/2022,1,1,DAD,52,Functional,985250,DAY,UNREGISTERED,PLANNED
MRU2021001087,2021/2022,2,1,DAD,1,Tuition,530000,DAY,UNREGISTERED,PLANNED
MRU2021001087,2021/2022,2,1,DAD,52,Functional,895250,DAY,UNREGISTERED,PLANNED
MRU2021001087,2022/2023,1,2,DAD,1,Tuition,530000,DAY,UNREGISTERED,PLANNED
MRU2021001087,2022/2023,1,2,DAD,52,Functional,905250,DAY,UNREGISTERED,PLANNED
MRU2021001087,2022/2023,2,2,DAD,1,Tuition,530000,DAY,UNREGISTERED,PLANNED
