ID	assigned_prog	course	yr	sem	course_name	lect_assigned	progs_with_students	progs_with_marks
5545	CAD	BEF1202	1	2	PSYCHOLOGICAL FOUNDATIONS OF EDUCATION	NO	BAED|BEICT|BVS	BADE|BAED|BAED/A|BED(P)|BED(S)|BEICT|BSCED|BSCEDU|BVS|DJ
5546	CAD	BIT1205	1	2	SYSTEMS ADMINSTRATION	NO	BEICT	BAED|BCS|BEICT|BIT|DIT
5547	CAD	BLL1201	1	2	LANGUAGE ANALYSIS & COMMUNICATION IN LUGANDA	NO	BAED|BEICT	BAED|BEICT
5548	CAD	BLL1202	1	2	THE PHONOLOGY OF LUGANDA LANGUAGE	NO	BAED|BEICT	BAED|BEICT
5549	CAD	BMA1201B	1	2	EDUCATIONAL MANAGEMENT & ADMINISTRATION	NO	BAED|BBE|BBEI|BED(P)|BED(S)|DPE	BAED|BBE|BBEI|BED(P)|BED(S)|BEICT
5550	CAD	FND1205B	1	2	HISTORY AND CULTURAL HERITAGE OF UGANDA	NO	BAED|BBA|BCOM|BEICT|BHRM|BIFA|BMC|BPLM|BSAF|BSM|BTHM|BVS|SWSA	|BAED|BBA|BBC|BBM|BCOM|BDS|BEICT|BEM|BES|BHRM|BMC|BMF|BPA|BPLM|BSAF|BSM|BTHM|BVS|DPE|SWSA
5551	CAD	ICT1203B	1	2	DATABASE SYSTEMS 	NO	BEICT|BIT|DIT	BBC|BCS|BEICT|BIT|BLIS|BSE|DIT
5552	CAD	ICT1205B	1	2	COMPUTER APPLICATIONS	NO	BEICT	BAED|BEICT|BSM|DSM
5553	CAD	ICT1206B	1	2	ICT LABORATORY MANAGEMENT	NO	BEICT	BEICT
5554	CAD	BEF2101	2	1	HISTORICAL FOUNDATIONS OF EDUCATION	NO	BAED|BVS	BADE|BAED|BAED/A|BEICT|BSCED|BSCEDU|BVS
5555	CAD	BEF2102	2	1	PHILOSOPHICAL FOUNDATIONS OF EDUCATION	NO	BAED|BEICT|BVS	BADE|BAED|BAED/A|BBM|BEICT|BSCED|BSCEDU|BVS
5556	CAD	BEP2101	2	1	BUSINESS PLAN AND EMPLOYMENT OPPORTUNITIES	NO	NULL	BAED
5557	CAD	BER2101	2	1	EDUCATIONAL RESEARCH METHODS	NO	BAED|BEICT|BVS	BADE|BAED|BEICT|BSCED|BSCEDU|BVS
5558	CAD	BHL2101	2	1	HUMAN LEARNING/GROWTH AND COGNITION /DEVELOPMENT 	NO	BAED|BEICT|BVS	BAED|BEICT|BVS
5559	CAD	BLL2101	2	1	MORPHOLOGY OF LUGANDA	NO	BAED|BEICT	BAED|BEICT|DSE
5560	CAD	ICT2101B	2	1	COMPUTER REPAIR AND MAINTENANCE 	NO	BEICT|BIT|BSM|DIT	BBC|BCS|BED(S)|BEICT|BIT|BSM
5561	CAD	ICT2115B	2	1	COMPUTER TEACHING METHODS	NO	BEICT	BED(S)|BEICT
5562	CAD	ICT2116B	2	1	EDUCATION INFORMATION SYSTEM	NO	BEICT	BEICT
5563	CAD	BCU2201	2	2	GENERAL TEACHING - LEARNING METHODS	NO	BAED|BEICT|BVS	BADE|BAED|BEICT|BSCED|BSCEDU|BVS
5564	CAD	BCU2204	2	2	PROFESSIONAL ETHICS	NO	BAED|BEICT|BVS	BAED|BEICT|BVS
5565	CAD	BLL2201	2	2	THE SYNTAX OF LUGANDA	NO	BAED|BEICT	BAED|BEICT
5566	CAD	BLL2202	2	2	LUGANDA NOVEL	NO	BAED|BEICT	BAED|BEICT
5567	CAD	BLL2205	2	2	LUGANDA TEACHING METHODS	NO	BAED|BEICT	BAED|BEICT
5568	CAD	BSP2201	2	2	SCHOOL PRACTICE (6Weeks)	YES	BAED|BEICT|BVS	BADE|BAED|BED(ECD)|BEICT|BMC|BSCED|BVS
5569	CAD	ICT2201B	2	2	EVENT DRIVEN PROGRAMMING	NO	BEICT|BIT	BBC|BCS|BED(S)|BEICT|BIT
5570	CAD	ICT2203B	2	2	STATISTICAL DATA ANALYSIS	NO	BEICT|BIT|BSM	|BBC|BBM|BCS|BEICT|BES|BIT|BSE|BSM
5571	CAD	ICT2204B	2	2	OPERATING SYSTEM	NO	BEICT|BIT	BBC|BCS|BEICT|BIT
5572	CAD	ICT2205B	2	2	SCRIPTING LANGUAGES	NO	BEICT|BIT	BBC|BED(S)|BEICT|BIT|BSE|BSM
5573	CAD	BEF3102	3	1	PHILOSOPHICAL FOUNDATIONS OF EDUCATION	NO	NULL	BADE|BAED|BEICT|BVS
5574	CAD	BEM3101	3	1	INTRODUCTION TO EDUCATIONAL MEASUREMENT AND EVALUATION	NO	BEICT	BADE|BAED|BAED/A|BEICT|BEM|BSCED|BSCEDU|BVS
5575	CAD	BLL3103	3	1	PHILOSOPHICAL INTERPRETATION OF PROVERBS	NO	BAED|BEICT	BAED|BEICT
5576	CAD	BLL3104	3	1	THE KIGANDA POETRY	NO	BAED|BEICT	BAED|BED(S)|BEICT
5577	CAD	ICT3114B	3	1	ELECTRONIC PUBLISHING AND MULTIMEDIA	NO	BEICT	BED(S)|BEICT
5578	CAD	BCU3201	3	2	CURRICULUM DESIGN DEVELOPMENT AND IMPLEMENTATION	NO	BAED|BECD|BEICT|BVS	BADE|BAED|BAED/A|BEICT|BSCED|BSCEDU|BVS
5579	CAD	BEF3201	3	2	SPECIAL NEEDS EDUCATION	NO	BAED|BEICT|BVS	BADE|BAED|BEICT|BSCED|BSCEDU|BVS
5580	CAD	BEF3202	3	2	ECONOMICS OF EDUCATION	NO	BAED|BEICT|BVS	BAED|BEICT
5581	CAD	BER3206	3	2	RESEARCH REPORT	NO	BAED|BEICT|BVS	BADE|BAED|BAED/A|BED(P)|BEICT|BSCED|BSCEDU|BVS
5582	CAD	BGC3201	3	2	EDUCATIONAL COUNSELLING AND GUIDANCE	NO	BAED|BEICT|BVS	BADE|BAED|BAED/A|BEICT|BGC|BSCED|BSCEDU|BVS
